time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,13.61,76.74,0,0,0,335.79,1.29,193,100653
20160101:0100,13.76,81.22,0,0,0,345.29,1.38,195,100643
20160101:0200,13.9,85.7,0,0,0,354.78,1.47,194,100614
20160101:0300,14.05,90.17,0,0,0,364.28,1.56,192,100584
20160101:0400,14.19,94.65,0,0,0,373.77,1.65,192,100555
20160101:0500,14.34,99.13,0,0,0,383.27,1.73,193,100545
20160101:0600,14.48,100,0,0,0,392.77,1.82,191,100545
20160101:0700,14.63,100,0,0,0,402.26,1.91,188,100574
20160101:0800,14.5,97.8,38,68.64,32,386.8,1.93,184,100594
20160101:0900,14.9,96.55,183,340.12,99,384.8,2,186,100604
20160101:1000,15.54,94.9,170,29.44,159,383.8,2.07,193,100643
20160101:1100,16.07,93.05,341,272.48,216,381.6,2.97,207,100624
20160101:1200,17.02,86.2,418,426.97,206,378.8,3.17,221,100594
20160101:1300,17.19,83.1,215,20.64,205,364.4,4.14,231,100486
20160101:1400,17.05,84.85,341,385.17,178,369.2,3.79,223,100457
20160101:1500,16.86,85.85,211,205,146,371.4,4.21,220,100388
20160101:1600,16.22,86.9,100,161.59,72,372.4,4.62,225,100388
20160101:1700,15.68,88.85,0,0,0,355.8,4.41,226,100437
20160101:1800,14.98,92.8,0,0,0,346.8,4.07,220,100437
20160101:1900,14.86,93.35,0,0,0,356,4.07,209,100496
20160101:2000,14.61,93.2,0,0,0,357.8,4.14,203,100506
20160101:2100,14.36,93.4,0,0,0,356.8,4,205,100506
20160101:2200,14.33,94.2,0,0,0,367.2,3.86,206,100506
20160101:2300,14.44,94.5,0,0,0,377.2,3.66,206,100506
20160102:0000,14.41,94.15,0,0,0,374,3.45,216,100496
20160102:0100,14.37,95.1,0,0,0,376.45,3.17,221,100476
20160102:0200,14.02,97.95,0,0,0,375.2,2.55,224,100437
20160102:0300,13.96,98.05,0,0,0,370,2.07,243,100447
20160102:0400,13.9,98.55,0,0,0,368.8,1.93,266,100476
20160102:0500,13.59,98.65,0,0,0,359.4,1.72,275,100466
20160102:0600,13.07,98.75,0,0,0,346.6,1.38,261,100496
20160102:0700,12.54,99.2,0,0,0,332.2,1.66,275,100584
20160102:0800,11.96,99.1,11,0,11,337.2,1.52,298,100673
20160102:0900,12.28,96.7,0,0,0,338.6,0.83,306,100722
20160102:1000,13,90.5,167,26.73,157,349,0.55,312,100771
20160102:1100,14.13,77.35,302,163.2,227,346,0.76,325,100761
20160102:1200,14.81,65.8,472,654.98,146,352.6,0.62,327,100732
20160102:1300,15.24,60.2,488,804.58,97,338.2,0.97,301,100673
20160102:1400,15.38,58.55,428,844.56,69,349,1.31,287,100604
20160102:1500,15.34,58.3,245,357.14,131,360.8,1.38,276,100555
20160102:1600,15.12,59.25,121,318.99,65,362.2,1.31,263,100565
20160102:1700,14.7,61.95,0,0,0,357.2,0.97,238,100604
20160102:1800,14.4,64.2,0,0,0,362.4,1.03,213,100624
20160102:1900,13.84,70.65,0,0,0,369.2,0.76,154,100663
20160102:2000,13.65,73.65,0,0,0,365,0.97,173,100653
20160102:2100,13.6,75.4,0,0,0,367.8,1.24,180,100624
20160102:2200,13.6,76.65,0,0,0,368.8,1.24,186,100574
20160102:2300,13.58,77.7,0,0,0,367.8,1.03,197,100555
20160103:0000,13.5,79.85,0,0,0,368.4,0.83,226,100525
20160103:0100,13.44,81.3,0,0,0,371.05,0.76,258,100496
20160103:0200,13.36,84.65,0,0,0,371.6,0.48,290,100506
20160103:0300,13.34,81.6,0,0,0,372,0.55,334,100476
20160103:0400,13.14,87.35,0,0,0,373.2,0.55,345,100447
20160103:0500,13.15,84.4,0,0,0,372.2,0.28,335,100319
20160103:0600,13.01,83.65,0,0,0,367.6,0.97,163,100388
20160103:0700,12.44,89.4,0,0,0,357.8,0.83,159,100398
20160103:0800,12.53,90,41,103.42,32,362.2,1.17,169,100388
20160103:0900,13.03,88.75,173,279.13,104,363.8,1.1,179,100427
20160103:1000,13.86,82.95,163,21.36,155,364.4,1.79,188,100417
20160103:1100,14.87,80.95,270,99.9,224,368.6,2.62,208,100398
20160103:1200,15.9,77.25,346,200.39,246,372.6,3.38,239,100299
20160103:1300,16.14,75.3,193,8.2,189,370.8,4.14,250,100250
20160103:1400,16.94,68.4,208,39.81,191,374,4.76,250,100181
20160103:1500,17,66.45,122,9.33,119,369.8,4.83,247,100172
20160103:1600,16.87,68.5,88,84.31,73,369.2,4.34,243,100132
20160103:1700,16.08,77.1,0,0,0,375.6,3.59,231,100132
20160103:1800,15.64,85.3,0,0,0,382.8,3.86,220,100113
20160103:1900,15.78,95,0,0,0,388.4,5.03,229,100093
20160103:2000,15.87,95.2,0,0,0,385.2,5.17,235,100073
20160103:2100,15.72,95.3,0,0,0,385.6,4.97,237,100113
20160103:2200,15.52,95.5,0,0,0,385.4,4.9,242,100142
20160103:2300,15.28,95.6,0,0,0,386.6,4.69,240,100152
20160104:0000,15.04,95.05,0,0,0,375.8,4.55,236,100083
20160104:0100,14.85,95.6,0,0,0,363.85,4.55,232,100044
20160104:0200,14.93,95.5,0,0,0,371.4,4.76,227,100005
20160104:0300,15.01,95.85,0,0,0,367.2,4.9,228,99975
20160104:0400,15.22,96.45,0,0,0,379.2,4.83,229,99897
20160104:0500,15.41,97.1,0,0,0,388.2,4.9,232,99798
20160104:0600,15.51,97.3,0,0,0,390.05,5.1,238,99788
20160104:0700,15.63,96.8,0,0,0,388.8,5.86,237,99798
20160104:0800,15.67,96.3,32,34.49,29,386.2,5.59,239,99798
20160104:0900,15.75,96.3,85,8.08,83,390,5.59,238,99808
20160104:1000,16,94,72,0,72,387.6,5.93,239,99847
20160104:1100,16.38,91.45,106,0,106,367.8,6.55,241,99828
20160104:1200,16.92,87.25,122,0,122,349.4,6.97,244,99720
20160104:1300,17.13,84,279,83.77,238,353.2,6.55,244,99631
20160104:1400,17.75,72.45,157,4.66,155,354,7.31,244,99523
20160104:1500,17.41,72.5,99,0,99,352.8,7.31,242,99494
20160104:1600,16.89,76.4,74,33.27,68,352.8,6.62,239,99484
20160104:1700,16.15,82.05,0,0,0,352.6,6.28,237,99454
20160104:1800,15.41,86.75,0,0,0,334.6,6,237,99454
20160104:1900,15.31,88.9,0,0,0,346.6,6.14,236,99425
20160104:2000,15.18,88.1,0,0,0,349.8,5.79,234,99415
20160104:2100,15.04,88.55,0,0,0,346.4,5.66,231,99366
20160104:2200,14.94,89.4,0,0,0,350.4,5.86,225,99307
20160104:2300,15.02,89.7,0,0,0,376,6.14,223,99228
20160105:0000,15,90.55,0,0,0,376.2,6.48,225,99160
20160105:0100,14.78,93.6,0,0,0,383.05,6.62,234,99052
20160105:0200,14.7,95.55,0,0,0,384.2,5.1,254,99022
20160105:0300,14.1,93.3,0,0,0,376.2,4,288,99111
20160105:0400,12.9,90.25,0,0,0,357.6,3.38,308,99228
20160105:0500,11.68,86.75,0,0,0,328.2,3.03,306,99258
