least_shaded ,middle_shaded,most_shaded,crop_protection_temp,crop_protection_eto,no_protect_eto,no_protect_temp
10.71645309,10.69860412,10.69860412,10.76948596,0.027059163,0.027059163,10.77
10.71770681,10.70027574,10.70027574,10.76949799,0.026425615,0.026425615,9.79
9.739366069,9.722488093,9.722488093,9.789513912,0.025587126,0.025587126,8.82
8.771112179,8.754816243,8.754816243,8.819530664,0.024704749,0.024704749,7.85
7.802835417,7.787113897,7.787113897,7.849547196,0.02383393,0.02383393,6.88
6.834536238,6.819381663,6.819381663,6.879563514,0.022974439,0.022974439,5.91
5.866214601,5.851619484,5.851619484,5.909579615,0.022126297,0.022126297,4.94
4.897870447,4.883827281,4.883827281,4.939595501,0.021289534,0.021289534,3.97
3.929396549,3.915862088,3.915862088,3.969610141,0.020518335,0.020518335,5.9
6.081316136,5.99663271,5.953985923,6.076928997,0.030831186,0.032554823,8.22
8.696622292,8.511528565,8.41062308,8.637480975,0.049829967,0.054404559,11.28
11.84477192,11.55220246,11.41152426,11.85460015,0.12227029,0.129493502,13.26
13.931462,13.5435231,13.36481496,13.97930399,0.180798287,0.190638533,14.86
15.55287845,15.11927504,14.92535423,15.6293454,0.216441008,0.227850473,16.05
16.6869446,16.23792575,16.04512662,16.80615362,0.243400931,0.255347083,16.81
17.23259285,16.81999526,16.65881694,17.43903053,0.260605994,0.271025865,17.06
17.29597386,16.92683188,16.79651389,17.56849423,0.264809724,0.273415026,16.83
16.75582042,16.47913153,16.40585479,17.11681348,0.253613633,0.258508685,15.75
15.33091652,15.19122201,15.19122201,15.74597686,0.211777827,0.211777827,13.84
13.54861826,13.451491,13.451491,13.83720278,0.147245583,0.147245583,13.37
13.02211945,12.90615926,12.90615926,13.36666038,0.175796438,0.175796438,12.5
12.19433018,12.09244024,12.09244024,12.4970656,0.154465849,0.154465849,11.73
11.46527182,11.37702909,11.37702909,11.72745863,0.133776578,0.133776578,11
10.77393866,10.69858487,10.69858487,10.99782982,0.114236846,0.114236846,10.3
10.109285,10.04571334,10.04571334,10.29816914,0.096375076,0.096375076,9.04
8.898438225,8.85125097,8.85125097,9.038640996,0.071536197,0.071536197,7.2
7.117563268,7.090084368,7.090084368,7.199208577,0.041658198,0.041658198,6.27
6.212906043,6.193874737,6.193874737,6.269451857,0.028851587,0.028851588,5.72
5.677373702,5.663164952,5.663164952,5.719590741,0.021540561,0.021540561,5.52
5.486716797,5.475622413,5.475622413,5.519680432,0.016819162,0.016819162,5.36
5.331663681,5.322218259,5.322218259,5.35972792,0.014319324,0.014319324,5
4.985331034,4.980441397,4.980441397,4.999859123,0.007412723,0.007412723,4.86
