total_panels,num_modules,num_rows,num_panels,row_spacing,gcr,installed_capacity_kW,final_site_kWh_output,final_agricultural_output,percent_change_agricultural_yield,percent_change_electrical_yield,land_efficiency
5700,38,50,3,5,0.221882285714286,4075.5,9967501422.00001,17.5326373803977,0.807427750698853,0.6645000948,1.47192784549885
3762,38,33,3,7.5,0.147921523809524,2689.83,6578550938.52,18.5272695480599,0.853233387151819,0.438570062568,1.29180344971982
2850,38,25,3,10,0.110941142857143,2037.75,4983750711,19.9306564182494,0.917863338674364,0.3322500474,1.25011338607436
2280,38,20,3,12.5,0.0887529142857143,1630.2,3987000568.8,20.7811757508866,0.957032169739387,0.26580003792,1.22283220765939
1824,38,16,3,15,0.0739607619047619,1304.16,3189600455.04,21.7141872634706,1,0.212640030336,1.212640030336
9500,38,50,5,5,0.369803809523809,6792.5,16612502370,14.0145114390401,0.645408058288991,1.107500158,1.75290821628899
6270,38,33,5,7.5,0.246535873015873,4483.05,10964251564.2,14.8761652888203,0.685089665494701,0.73095010428,1.4160397697747
4750,38,25,5,10,0.184901904761905,3396.25,8306251185,15.8931491085801,0.731924659013922,0.553750079,1.28567473801392
3800,38,20,5,12.5,0.147921523809524,2717,6645000948,16.5770649737228,0.763420927183867,0.4430000632,1.20642099038387
3040,38,16,5,15,0.123267936507936,2173.6,5316000758.4,17.8731245325545,0.82310815116816,0.35440005056,1.17750820172816
11400,38,50,6,5,0.443764571428571,8151,19935002844,13.304886438786,0.612727811423485,1.3290001896,1.94172800102349
7524,38,33,6,7.5,0.295843047619048,5379.66,13157101877.04,13.8524337331895,0.637943919572494,0.877140125136001,1.51508404470849
5700,38,25,6,10,0.221882285714286,4075.5,9967501422.00001,14.976862182955,0.689727043486926,0.6645000948,1.35422713828693
4560,38,20,6,12.5,0.177505828571429,3260.4,7974001137.6,15.4523015930524,0.711622378749932,0.53160007584,1.24322245458993
3648,38,16,6,15,0.147921523809524,2608.32,6379200910.08,16.6041601454957,0.764668736804561,0.425280060672,1.18994879747656
13300,38,50,7,5,0.517725333333333,9509.5,23257503318,12.6513305363435,0.582629705769678,1.5505002212,2.13312992696968
8778,38,33,7,7.5,0.345150222222222,6276.27,15349952189.88,13.0748804437481,0.602135382047835,1.023330145992,1.62546552803984
6650,38,25,7,10,0.258862666666667,4754.75,11628751659,13.7276150868291,0.63219566637536,0.7752501106,1.40744577697536
5320,38,20,7,12.5,0.207090133333333,3803.8,9303001327.2,14.1308776936771,0.650767054839271,0.62020008848,1.27096714331927
4256,38,16,7,15,0.172575111111111,3043.04,7442401061.76,15.0323235591328,0.692281197391232,0.496160070784,1.18844126817523
7600,38,50,4,5,0.295843047619048,5434,13290001896,15.3509496772896,0.706954835151221,0.8860001264,1.59295496155122
5016,38,33,4,7.5,0.197228698412698,3586.44,8771401251.36,17.1930449880613,0.791788556460728,0.584760083424,1.37654863988473
3800,38,25,4,10,0.147921523809524,2717,6645000948,17.873998008086,0.823148377197387,0.4430000632,1.26614844039739
3040,38,20,4,12.5,0.118337219047619,2173.6,5316000758.4,18.6815962969954,0.860340572286725,0.35440005056,1.21474062284673
2432,38,16,4,15,0.0986143492063492,1738.88,4252800606.72,19.9221311826408,0.917470727359687,0.283520040448,1.20099076780769
